Baseline 100%T,,Baseline 0%T,,test5009,,L_band,,sloan_i,,sloan_g,,sloan_r,,bessel_i,,,,,,,,,,,,,,,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T_L,Wavelength (nm),%T_i,Wavelength (nm),%T_g,Wavelength (nm),%T_r,Wavelength (nm),%T_bi,WV_CMOS,QE_CMOS,WV_CCD,QE_CCD_1,QE_CCD,,,,,,WV_TEL,TEL_TRA,,WV_NGTS,NGTS_TRA
900,98.65887451,900,0.012040748,900,6.994961739,900,-0.012796254,900,0.020526499,900,-0.006254774,900,-0.015686164,900,92.41362,380.000,57.140,199.0384615,7.742276675,5.742276675,,,,,,300,0,,414.383,-0.0158338
899,97.90629578,899,0.014266992,899,7.428631783,899,0.034076575,899,0.036834396,899,0.019461658,899,-0.040408138,899,93.6162796,385.000,59.806,203.0769231,9.692866005,7.692866005,,,,,,300.700701,0,,460.274,0.0657481
898,96.13201904,898,-0.014660861,898,6.193251133,898,0.010480007,898,0.028084848,898,0.016926728,898,0.021900363,898,96.11148834,390.000,63.868,209.8076923,11.28793424,9.287934243,,,,,,301.401401,0,,494.521,0.0280485
897,97.29882813,897,0.072832897,897,6.397767544,897,-0.059562571,897,-0.079606861,897,-0.076191872,897,-0.073158607,897,94.23743439,395.000,67.889,212.5,13.06144541,11.06144541,,,,,,302.102102,0,,508.907,0.408513
896,96.22118378,896,-0.018005522,896,6.126460075,896,0.008636764,896,0.041872419,896,0.022757942,896,0.014117296,896,95.2257309,400.000,70.821,212.5,15.19047767,13.19047767,,,,,,302.802803,0,,512.339,1.46154
895,97.23235321,895,-0.008445136,895,5.276478291,895,0.000767309,895,0.01169556,895,0.025088018,895,0.002957875,895,91.30783081,405.000,73.389,213.8461538,17.67400744,15.67400744,,,,,,303.503504,0,,513.033,2.78178
894,99.2041626,894,0.005947215,894,4.597829342,894,0.001341329,894,0.022361813,894,-0.000381117,894,-0.001631805,894,91.89122772,410.000,74.410,216.5384615,20.68945409,18.68945409,,,,,,304.204204,0,,515.119,7.403
893,97.10095215,893,0.003885628,893,4.370285511,893,0.012034372,893,-0.003432644,893,0.016906425,893,-0.024749881,893,94.27239227,415.000,76.141,216.5384615,22.28622829,20.28622829,,,,,,304.904905,0,,516.684,35.8029
892,96.67269897,892,0.0083638,892,4.376449585,892,-0.013690529,892,-0.014832913,892,-0.0022041,892,-0.002435882,892,93.8144989,420.000,78.110,220.5769231,24.59165633,22.59165633,,,,,,305.605606,0,,519.003,74.3736
891,97.90598297,891,0.008402419,891,3.86768651,891,-0.009941664,891,-0.01228082,891,0.001657523,891,-0.011544281,891,94.60017395,425.000,81.814,224.6153846,22.81643921,20.81643921,,,,,,306.306306,0,,521.161,89.5628
890,95.8755188,890,0.00599252,890,3.634057522,890,0.018382624,890,0.005221961,890,0.008844144,890,-0.016588537,890,96.85938263,430.000,83.641,225.9615385,21.21932382,19.21932382,,,,,,307.007007,0,,521.855,90.883
889,97.11878967,889,-0.041377492,889,3.436035633,889,0.036713999,889,0.062488519,889,0.045549832,889,0.056315552,889,95.18466949,435.000,85.100,230,18.73442928,16.73442928,,,,,,307.707708,0,,522.549,92.2033
888,96.17501068,888,0.002769817,888,3.13926816,888,-0.004545713,888,-0.015841924,888,-0.002065951,888,-0.004828589,888,96.36542511,440.000,86.057,232.6923077,15.71761787,13.71761787,,,,,,308.408408,0,,523.243,93.5235
887,96.41872406,887,-0.000600078,887,2.802393675,887,0.023345571,887,0.00173097,887,0.008405542,887,0.015410132,887,95.78000641,445.000,87.201,238.0769231,12.52270471,10.52270471,,,,,,309.109109,0,,525.306,94.7101
886,96.3095932,886,0.011989948,886,2.557742119,886,-0.000307441,886,0.007621008,886,-0.012511563,886,-0.008818817,886,95.90892792,450.000,88.395,243.4615385,10.03746898,8.037468983,,,,,,309.80981,0,,527.354,93.6511
885,96.99133301,885,0.002145983,885,2.502602577,885,0.020969324,885,0.011053143,885,-0.001797092,885,-0.01794463,885,93.89453888,455.000,89.585,248.8461538,8.439330025,6.439330025,,,,,,310.510511,0,,529.4,92.4599
884,97.24237823,884,-0.006026904,884,2.131906986,884,0.017545614,884,0.017242,884,0.006997036,884,0.002183004,884,94.63432312,460.000,91.095,258.2692308,7.372425558,5.372425558,,,,,,311.211211,0,,531.464,93.7787
883,96.61677551,883,-0.014104831,883,2.225392818,883,0.018007461,883,0.039893355,883,0.013155852,883,0.017682431,883,94.77976227,465.000,90.951,270.3846154,7.191935484,5.191935484,,,,,,311.911912,0,,532.843,95.0981
882,96.69005585,882,-0.004400526,882,1.772063255,882,0.011397308,882,0.013834236,882,0.004918974,882,-0.00175058,882,95.75262451,470.000,91.518,277.1153846,9.319261787,7.319261787,,,,,,312.612613,0,,534.221,96.2855
881,97.7239151,881,0.000815252,881,1.740319967,881,-0.003563017,881,0.022978213,881,0.000302035,881,0.001993274,881,95.2837677,475.000,91.594,281.1538462,11.80210918,9.802109181,,,,,,313.313313,0,,537.652,97.2065
880,96.51809692,880,0.00035725,880,1.53357172,880,0.000824507,880,0.016344754,880,-0.002136694,880,-0.000804063,880,96.40530396,480.000,92.996,286.5384615,16.05880893,14.05880893,,,,,,314.014014,0,,541.756,96.4093
879,97.0921936,879,-0.002068893,879,1.38386631,879,0.010021037,879,0.02099294,879,-0.004028622,879,-0.004307458,879,95.85600281,485.000,92.625,293.2692308,19.42807072,17.42807072,,,,,,314.714715,0,,545.181,96.4056
878,97.32348633,878,0.003529575,878,1.269164801,878,0.002107521,878,0.014942558,878,-0.00011137,878,-0.002424055,878,95.23672485,490.000,93.132,298.6538462,22.44283499,20.44283499,,,,,,315.415415,0,,547.244,97.5922
877,97.00707245,877,0.002170356,877,1.222022772,877,0.001552029,877,0.024972716,877,-0.007683431,877,0.000578191,877,96.11024475,495.000,94.077,302.6923077,24.57084367,22.57084367,,,,,,316.116116,0,,550.676,98.6452
876,97.08115387,876,-0.005519176,876,1.018666387,876,0.012513286,876,0.038934246,876,0.004373248,876,0.001377393,876,94.84779358,500.000,94.384,306.7307692,26.69885236,24.69885236,,,,,,316.816817,0,,556.152,98.2429
875,96.00435638,875,-0.001018585,875,0.941000998,875,0.00700363,875,0.038686875,875,0.001480142,875,0.000359202,875,97.30591583,505.000,94.515,312.1153846,29.35877792,27.35877792,,,,,,317.517518,0,,560.256,97.3137
874,96.92137909,874,-0.001106639,874,0.883556604,874,0.007950454,874,0.053060792,874,0.000132901,874,-0.00059383,874,96.03683472,510.000,94.393,318.8461538,31.66352357,29.66352357,,,,,,318.218218,0,,564.371,98.2338
873,96.60402679,873,-0.002790035,873,0.783409834,873,0.009179614,873,0.059430495,873,0.000723823,873,0.002232288,873,96.4702301,515.000,94.255,329.6153846,33.96724566,31.96724566,,,,,,318.918919,0,,569.169,98.6249
872,96.65712738,872,-0.002097475,872,0.706751943,872,0.00842052,872,0.061607484,872,0.001995091,872,0.001095569,872,95.88933563,520.000,94.008,343.0769231,35.7380273,33.7380273,,,,,,319.61962,0,,574.645,98.2225
871,96.64228821,871,-0.000239274,871,0.611731052,871,0.008203438,871,0.07018587,871,-0.001181978,871,0.002765784,871,97.05252838,525.000,93.104,359.2307692,35.20167494,33.20167494,,,,,,320.32032,0,,579.442,98.4815
870,96.87737274,870,-0.001560391,870,0.57979846,870,0.008587781,870,0.06962382,870,0.004014766,870,0.001736149,870,96.38989258,530.000,93.678,368.6538462,34.13477047,32.13477047,,,,,,321.021021,0,,585.602,97.9463
869,96.66364288,869,-0.001373554,869,0.517593026,869,0.004744717,869,0.079529695,869,0.002524578,869,-1.48E-06,869,96.84957886,535.000,93.422,375.3846154,35.90725806,33.90725806,,,,,,321.721722,0,,591.079,97.5439
868,96.85583496,868,-0.002210632,868,0.462211758,868,0.009389383,868,0.112063028,868,0.007760194,868,0.000216885,868,96.64285278,540.000,94.348,382.1153846,38.03458437,36.03458437,,,,,,322.422422,0,,596.562,98.0663
867,96.63237,867,-0.00212615,867,0.434162051,867,0.002363646,867,0.133827388,867,0.003474458,867,-4.09E-05,867,97.1390686,545.000,94.244,390.1923077,39.80673077,37.80673077,,,,,,323.123123,0,,602.726,98.0595
866,96.28773499,866,-5.13E-05,866,0.405790269,866,0.006060398,866,0.146753222,866,0.00166145,866,-0.001095458,866,97.62837982,550.000,93.770,396.9230769,41.93405707,39.93405707,,,,,,323.823824,0,,608.204,97.7893
865,96.76500702,865,-0.00089569,865,0.387144387,865,0.004515465,865,0.186330453,865,0.003337241,865,-0.001204722,865,96.94075775,555.000,93.930,405,44.7707196,42.7707196,,,,,,324.524525,0,,613.682,97.5191
